title,author,filename,url
2019 Arab Region SDG Index and Dashboards Report,United Nations,2019-the-arab-region-sdg-index-united-nations.pdf,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/2019-the-arab-region-sdg-index-united-nations.pdf
3D Acquisition of Archaeological Structures at Wad Ben Naga,Sheryl Lindsell-Roberts,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/3d-acquisition-of-archaeological-structures-at-wad-ben-naga.epub
A Black Power in the Blue Nile: Military History of the Funj Sultanate,DPT Collective; Marc de Bruijn; Liz Castro; Florian Cramer; Joost Kircz; Silvio Lorusso; Michael Murtaugh; Pia Pol; Miriam Rasch; Margreet Riphagen,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/a-black-power-in-the-blue-nile-military-history-of-the-funj-.epub
A Brief Overview of the Continuity along the Nile Valley,David Kessler,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/a-brief-overview-of-the-continuity-along-the-nile-valley.epub
A Bronze Statue of a Meroitic Archer-King,King Arthur Flour,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/a-bronze-statue-of-a-meroitic-archer-king.epub
A Darfur Who's Who,Christopher Davidson,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/a-darfur-who-s-who.epub
A Faience Tile of the Old Kingdom Found in Nubia,John Hinnells,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/a-faience-tile-of-the-old-kingdom-found-in-nubia.epub
A First Look at the 5th Cataract and Plant Use in Ancient Sudan,Jeff Carlson,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/a-first-look-at-the-5th-cataract-and-plant-use-in-ancient-su.epub
A Glimpse of Dubai in Khartoum and Nouakchott: Prestige Urban Projects on the Margins of the Arab World,Armelle Choplin; Olivier Pliez,,https://shs.hal.science/halshs-00547524
A Historical GIS of Nubia Based on the William John Bankes Archive,Mark Twain,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/a-historical-gis-of-nubia-based-on-the-william-john-bankes-a.epub
A History of Modern Sudan,Robert O. Collins,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/history-of-modern-sudan-collins.pdf
A Macroeconometric Model for the Sudan: Policy Analysis and Implications (1982-2014),Mohieldin Elhassan,,https://pub-0c3bb637d5f54b239fe4a4ef9b08bfe3.r2.dev/A_Macroeconometric_Model_for_the_Sudan_P.pdf
A New Protective Shelter for the Royal Baths at Meroe,Catherine Saxelby,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/a-new-protective-shelter-for-the-royal-baths-at-meroe.epub
A Short History of the Sudan (Up to A.D. 1500),Margaret Shinnie,,https://pub-0c3bb637d5f54b239fe4a4ef9b08bfe3.r2.dev/short-history-of-sudan-shinnie.pdf
A Tropical Dependency: An Outline of the Ancient History of the Western Sudan,Flora Shaw Lugard,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/a-tropical-dependency-an-outline-of-the-ancient-history-of-t.epub
Advances on Remote Sensing for Archaeology in Sudan,Cathy Whitlock; Art Directors Guid,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/advances-on-remote-sensing-for-archaeology-in-sudan.epub
Africa and the Four Powers: Sudan Inaugurates Continental Railway,Hussein Askary,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/africa-and-the-four-powers-sudan-inaugurates-continental-rai.epub
Africa and the Four Powers: Sudan Inaugurates the Continental Railway,Hussein Askary,,https://pub-a5e3b47fe87749f491660d68e2029284.r2.dev/africa-four-powers-sudan-continental-railway.epub
